Name,Reference (s),Full Address,Address,City,State,Country,ZIP,Current Status,Converted into?,Creation,Closure,Reason for closure,Owner,Films screened,Website,Notes
Utopian,Bham Wiki,"6 W. Main Street, Sheffield, Pennsylvania, United States, 16347",6 W. Main Street,Sheffield,Pennsylvania,United States,16347,,,1926,1957,,,,https://cinematreasures.org/theaters/50137,
Victor,FDYB1926 - 1932,"119 W. Church Street, Anderson, South Carolina, United States, 29624",119 W. Church Street,Anderson,South Carolina,United States,29624,Demolished,,1926,1931,,,,https://cinematreasures.org/theaters/447,
Lincoln (Palace),FDYB1931 - 1932,"120 N. Liberty Street, Bennettsville, South Carolina, United States, 29512",120 N. Liberty Street,Bennettsville,South Carolina,United States,29512,Converted,offices,1920,1955,,Carolina B. Breeden,,https://cinematreasures.org/theaters/42373," The name was changed to the Palace Theatre by 1935. Carolina B. Breeden who was a well known African-American businessman owned the theatre. A business partner, Heber Covington was the general manager of the theatre. Mr. Covington, who was born in Clio, S.C. in 1923, recalled that boxing matches were held at the Palace Theatre. Blacks and Whites competed. Blacks and Whites also attended the matches. Whites sat in the balcony and Blacks sat on the ground floor."
School,FDYB1927 -  1932,"\, Bishopville, South Carolina, United States, ",\,Bishopville,South Carolina,United States,,,,,,,,,,
Lincoln,FDYB1931 - 1932,"\, Camden, South Carolina, United States, ",\,Camden,South Carolina,United States,,,,,,,,,,
Elco,FDYB1926 - 1932,"549 King Street, Charleston, South Carolina, United States, 29043",549 King Street,Charleston,South Carolina,United States,29043,Converted,Restaurant,1913,1931,,,,,
Lincoln,FDYB1927 - ,"601 King Street, Charleston, South Carolina, United States, 29403",601 King Street,Charleston,South Carolina,United States,29403,Demolished,Mixed use complex,February 1920,early 1970s,,,,,"Demolished on November 9, 1989 following damage from Hurricane Hugo"
Pastime,FDYB1931 - 1932,"220 King Street, Charleston, South Carolina, United States, 29401",220 King Street,Charleston,South Carolina,United States,29401,Demolished,Commercial store,,,,,,,
Capitol,FDYB1931 -,"1017 Washington Street, Columbia, South Carolina, United States, 29201",1017 Washington Street,Columbia,South Carolina,United States,29201,Demolished,Apartment,,,,,,,"Reopened as adult theater called Cine-Art on July 15th, 1970."
Lincoln,FDYB1927 - 1932,"\, Columbia, South Carolina, United States, ",\,Columbia,South Carolina,United States,,,,,,,,,,
Royal,FDYB1927 -/FDYB1931,"\, Columbia, South Carolina, United States, ",\,Columbia,South Carolina,United States,,,,,,,,,,
Liberty,FDYB1931 -,"14 Spring Street, Greenville, South Carolina, United States, 29601",14 Spring Street,Greenville,South Carolina,United States,29601,Demolished,Parking facility,1919,"February 28, 1960",,,,,Also called New Liberty Theatre
Brevard,FDYB1931 - 1932,"\, Greenwood, South Carolina, United States, ",\,Greenwood,South Carolina,United States,,,,,,,,,,
Liberty,FDYB1931 - 1932,"\, Laurens, South Carolina, United States, ",\,Laurens,South Carolina,United States,,,,,,,,,,
Dunbar,FDYB1931 - 1932,"\, Spartansburg, South Carolina, United States, ",\,Spartansburg,South Carolina,United States,,,,,,,,,,
Garden,FDYB1927 - 1932,"\, Sumter, South Carolina, United States, ",\,Sumter,South Carolina,United States,,,,,,,,,,
Y.M.C.A.,FDYB1927 - 1932,"\, Ware Shoals, South Carolina, United States, ",\,Ware Shoals,South Carolina,United States,,,,,,,,,,
Amuzu,FDYB1931 -,"\, Chattanooga, Tennessee, United States, ",\,Chattanooga,Tennessee,United States,,,,,,,,,,
Grand,FDYB1931 - 1938+,"\, Chattanooga, Tennessee, United States, ",\,Chattanooga,Tennessee,United States,,,,,,,,,,
Lincoln,FDYB1931 - 1932,"\, Chattanooga, Tennessee, United States, ",\,Chattanooga,Tennessee,United States,,,,,,,,,,
Palace,FDYB1931 - 1932,"\, Jackson, Tennessee, United States, ",\,Jackson,Tennessee,United States,,,,,,,,,,
Gem,FDYB1931 - ,"\, Knoxville, Tennessee, United States, ",\,Knoxville,Tennessee,United States,,,,,,,,,,
Bijou,FDYB1931 -,"423 4th Ave N., Memphis, Tennessee, United States, 37219",423 4th Ave N.,Memphis,Tennessee,United States,37219,Demolished,Hotel,09/14/1904,11/03/1956,,,,,https://cinematreasures.org/theaters/13564
Daisy,FDYB1931 -,"329 - 330 Beale Street, Memphis, Tennessee, United States, 38103",329 - 330 Beale Street,Memphis,Tennessee,United States,38103,Converted,Banquet Hall,1912,,,,,,https://cinematreasures.org/theaters/10962
Grand ,FDYB1931 -,"330-332 Beale Street, Memphis, Tennessee, United States, 38103",330-332 Beale Street,Memphis,Tennessee,United States,38103,Demolished,,1917,1942,,,,,https://cinematreasures.org/theaters/39961 
New Grand Theatre,," 336 Beale Street , Memphis, Tennessee, United States, 38103", 336 Beale Street ,Memphis,Tennessee,United States,38103,Demolished,,1912,1939,,,,,https://cinematreasures.org/theaters/39962
Palace,FDYB1931 -,"324 Beale Street, Memphis, Tennessee, United States, 38103",324 Beale Street,Memphis,Tennessee,United States,38103,Demolished,Restaurant,,,,,,,https://cinematreasures.org/theaters/14229
Dixie,FDYB1931 - 1932,"\, Morristown, Tennessee, United States, ",\,Morristown,Tennessee,United States,,,,,,,,,,Possbily this?: https://cinematreasures.org/theaters/70607
Lincoln,FDYB1931 - 1932,"1013 12th Ave S., Nashville, Tennessee, United States, 37219",1013 12th Ave S.,Nashville,Tennessee,United States,37219,Demolished,Apartments,,,,,,,
Ash Street,FDYB1927 -,"\, Abilene, Texas, United States, ",\,Abilene,Texas,United States,,,,,,,,,,"Again, no record found of an Ash Street Theatre in Abilene, asides from inclusion here : https://www.cinematour.com/theatres/us/TX/1.html but no address given"
Dixie,FDYB1931 -,"\, Abilene, Texas, United States, ",\,Abilene,Texas,United States,,,,,,,,,,"No record of a Dixie Theatre in Abilene, asides from this mention here; (https://www.cinematour.com/theatres/us/TX/1.html), but no address given"
Franks,FDYB1926 -,"\, Athens, Texas, United States, ",\,Athens,Texas,United States,,,,,,,,,,
Dunbar,FDYB1931 -,"419 East 6th Street, Austin, Texas, United States, 78701",419 East 6th Street,Austin,Texas,United States,78701,,,,,,,,,https://local-memory.org/notes/bessie-smith-and-the-dunbar-theatre/
Lincoln,FDYB1926 -,"302 E. 6th Street, Austin, Texas, United States, 78701",302 E. 6th Street,Austin,Texas,United States,78701,Demolished,Pub,,,,,,,https://cinematreasures.org/theaters/62662
Lyric,FDYB1926 - 1932,"700 Congress Avenue, Austin, Texas, United States, 78701",700 Congress Avenue,Austin,Texas,United States,78701,Demolished,Art museum,,,,,,,https://cinematreasures.org/theaters/25377
Baytown,FDYB1927 -,"\, Baytown, Texas, United States, ",\,Baytown,Texas,United States,,,,,,,,,,
Humble Club,FDYB1927-,"3527 Market Street, Baytown, Texas, United States, 77520",3527 Market Street,Baytown,Texas,United States,77520,Demolished,Empty lot,,,,,,,https://cinematreasures.org/theaters/72200 Bonus ad: https://cinematreasures.org/theaters/72202/photos/479438
Joyland,FDYB1931 -,"1091 Gladys Street, Beaumont, Texas, United States, 77701",1091 Gladys Street,Beaumont,Texas,United States,77701,Demolished,Nothing,,,,,,,"https://auctions.concertpostergallery.com/lot-details/index/catalog/16/lot/1221/1974-The-Bobby-Rush-Revue-Joyland-Club-Texas-Cardboard-Poster-Excellent-75?url=%2Fauctions%2Fcatalog%2Fid%2F16 , https://www.yelp.com/biz/joyland-cafe-and-club-beaumont , looks like it was still open at least till the early 2000s? https://www.beaumontenterprise.com/news/article/live-music-in-southeast-texas-752547.php"
Liberty,FDYB1927,"347 Pearl Street, Beaumont, Texas, United States, 77701",347 Pearl Street,Beaumont,Texas,United States,77701,Demolished,,1914,,,,,,
New Rex,FDYB1931 -,"\, Beaumont, Texas, United States, ",\,Beaumont,Texas,United States,,,,,,,,,,"No record that I can find of a ""Rex"" or ""New Rex"" Theatre in Beaumont, besides inclusion in CinemaTour database (https://www.cinematour.com/tour/us/13595.html), missing dates and address. Interestingly, the only information in the CT database is that the Rex Theatre had been operated by the Jefferson Amusement Company, which is on record for opening the historic Jefferson Theatre in Beaumont in 1927. Is it possible that the Jefferson Theatre was originally the Rex Theatre?"
Star,FDYB1926 - ,"680 Forsythe Street, Beaumont, Texas, United States, 77701",680 Forsythe Street,Beaumont,Texas,United States,77701,Demolished,,1940s,1960s,,,,,
Verdun,FDYB1927,"\, Beaumont, Texas, United States, ",\,Beaumont,Texas,United States,,,,,,,,,,Brif mention here: https://plainshumanities.unl.edu/encyclopedia/doc/egp.afam.031.html
Liberty (No.1),FDYB1931 -,"\, Bryan, Texas, United States, ",\,Bryan,Texas,United States,,,,,,,,,,
Liberty (No.2),FDYB1931 -,"\, Bryan, Texas, United States, ",\,Bryan,Texas,United States,,,,,,,,,,
Coxy,FDYB1931 -,"\, Clarksville, Texas, United States, ",\,Clarksville,Texas,United States,,,,,,,,,,
Dixie,FDYB1931 -,"\, Cleburne, Texas, United States, ",\,Cleburne,Texas,United States,,,,,,,,,,
Dreamland,FDYB1931 -,"\, Cleburne, Texas, United States, ",\,Cleburne,Texas,United States,,,,,,,,,,
Dugan,FDYB1931 -,"\, Conroe, Texas, United States, ",\,Conroe,Texas,United States,,,,,,,,,,
Galvan,FDYB1931 -,"\, Corpus Christie, Texas, United States, ",\,Corpus Christie,Texas,United States,,,,,,,,,,"Records of an integrated Galvan Ballroom (https://www.tshaonline.org/handbook/entries/galvan-ballroom), but no mention of movies being shown there"
Circle,FDYB1927 -,"Either 2711 Storey Lane OR 318 N. St. Paul Street, Dallas, Texas, United States, 75201",Either 2711 Storey Lane OR 318 N. St. Paul Street,Dallas,Texas,United States,75201,,,,,,,,,https://cinematreasures.org/theaters/8423 https://cinematreasures.org/theaters/43288
Ella P. Moore,FDYB1927 -,"424 N. Central Avenue, Dallas, Texas, United States, 75201",424 N. Central Avenue,Dallas,Texas,United States,75201,,,,,,,,,https://cinematreasures.org/theaters/27918 https://sundayblues.org/?p=30
Grand Central,FDYB1931 -,"405 Central Avenue, Dallas, Texas, United States, 75201",405 Central Avenue,Dallas,Texas,United States,75201,,,,,,,,,https://cinematreasures.org/theaters/43218
Palace,FDYB1927 -,"1625 Elm Street OR 2407 Elm Street, Dallas, Texas, United States, 75201",1625 Elm Street OR 2407 Elm Street,Dallas,Texas,United States,75201,,,,,,,,,https://cinematreasures.org/theaters/14700 https://cinematreasures.org/theaters/14219
State,FDYB1931 -,"3217 Thomas Avenue, Dallas, Texas, United States, 75204",3217 Thomas Avenue,Dallas,Texas,United States,75204,,,,,,,,,https://cinematreasures.org/theaters/27921
Dreamland,FDYB1931 -,"600 W. Bond Street, Denison, Texas, United States, 75020",600 W. Bond Street,Denison,Texas,United States,75020,,,,,,,,,https://cinematreasures.org/theaters/71796
Queen,FDYB1931 -,"\, Edna, Texas, United States, ",\,Edna,Texas,United States,,,,,,,,,,
Belva,FDYB1931 -,"\, Ennis, Texas, United States, ",\,Ennis,Texas,United States,,,,,,,,,,https://cinematreasures.org/theaters/66500
Com.,FDYB1927,"\, Ferris, Texas, United States, ",\,Ferris,Texas,United States,,,,,,,,,,
Dixie No. 3 (Princess),FDYB1927 -,"2621 Market Street, Galveston, Texas, United States, 77550",2621 Market Street,Galveston,Texas,United States,77550,,,,,,,,,https://cinematreasures.org/theaters/71753
Pastime,FDYB1931 -,"3022 Johnson Street, Greenville, Texas, United States, 75401",3022 Johnson Street,Greenville,Texas,United States,75401,,,,,,,,,https://cinematreasures.org/theaters/44896/
Happy Hour,FDYB1931 -,"\, Hearne, Texas, United States, ",\,Hearne,Texas,United States,,,,,,,,,,
Gardner,FDYB1931 -,"\, Hillsboro, Texas, United States, ",\,Hillsboro,Texas,United States,,,,,,,,,,
Lincoln,FDYB1931 -,"364 S. 6th Street, Honey Grove, Texas, United States, 75446",364 S. 6th Street,Honey Grove,Texas,United States,75446,,,,,,,,,https://cinematreasures.org/theaters/27153
DeLUXE Theater,LHAT,"3303 Lyons Avenue, Houston, Texas, United States, 77020",3303 Lyons Avenue,Houston,Texas,United States,77020,,,1941,,,,,https://thedeluxetheater.com/about-us/#mission,
Dunbar,FDYB1927,"2814 Nance Street, Houston, Texas, United States, 77020",2814 Nance Street,Houston,Texas,United States,77020,Demolished,Housing,1927,,,,,,
Ideal,FDYB1926 - 1932,"504 Milam Street, Houston, Texas, United States, 77002",504 Milam Street,Houston,Texas,United States,77002,,,,,,,,,https://cinematreasures.org/theaters/71665
Lincoln,FDYB1931 -,"711 Prarie Street, Houston, Texas, United States, 77002",711 Prarie Street,Houston,Texas,United States,77002,,,,,,,,,https://cinematreasures.org/theaters/11383
Parkview,FDYB1931 -,"\, Houston, Texas, United States, ",\,Houston,Texas,United States,,,,,,,,,,
Parkview (Dowling St.),FDYB1931 -,"2110 Dowling Street, Houston, Texas, United States, 77003",2110 Dowling Street,Houston,Texas,United States,77003,,,,,,,,,https://cinematreasures.org/theaters/31529
Pastice,FDYB1926,"\, Houston, Texas, United States, ",\,Houston,Texas,United States,,,,,,,,,,"No records of a ""pastice"" theatre - possibly a spelling error for ""pastime""? "
Pastime,FDYB1931 -,"2514 McKinney Street, Houston, Texas, United States, 77003",2514 McKinney Street,Houston,Texas,United States,77003,,,,,,,,,https://cinematreasures.org/theaters/34102
St. Elmo,FDYB1926 -,"711 W. Dallas Street, Houston, Texas, United States, 77019",711 W. Dallas Street,Houston,Texas,United States,77019,,,,,,,,,https://cinematreasures.org/theaters/71510
Washington,FDYB1931 -,"2711 Lyons Ave, Houston, Texas, United States, 77020",2711 Lyons Ave,Houston,Texas,United States,77020,,,,,,,,,
Zoe,FDYB1931 -,"504 Milam Street, Houston, Texas, United States, 77002",504 Milam Street,Houston,Texas,United States,77002,,,,,,,,,
Airdome,FDYB1927,"\, Jacksonville, Texas, United States, ",\,Jacksonville,Texas,United States,,,,,,,,,,"Can;t find any information on it - this article seems to mention it (https://www.jacksonvilleprogress.com/opinion/columns/mysteries-at-your-museum-the-airdome---a-photo-play-theater/article_74efdf74-1600-11e9-8261-8f31d6f8b216.html), but it's paywalled and I can't read it"
Alamo,FDYB1927 -,"\, Mineola, Texas, United States, ",\,Mineola,Texas,United States,,,,,,,,,,https://cinematreasures.org/theaters/62303
Dixie,FDYB1926 - 1931,"\, Mt. Pleasant, Texas, United States, ",\,Mt. Pleasant,Texas,United States,,,,,,,,,,
Liberty,FDYB1931 -,"\, Mt. Pleasant, Texas, United States, ",\,Mt. Pleasant,Texas,United States,,,,,,,,,,
Shawnee,FDYB1931 -,"\, Nacogdoches, Texas, United States, ",\,Nacogdoches,Texas,United States,,,,,,,,,,"Possibly located at 115 Shawmee Street - no record of a theatre called Shawnee, but records of a ""Glyn"" Theatre bing located on Shawnee street, as well as a ""Tatum"" Theater (https://www.sfasu.edu/heritagecenter/1668.asp)"
Queen,FDYB1931 -,"\, Navasota, Texas, United States, ",\,Navasota,Texas,United States,,,,,,,,,,
Liberty,FDYB1926 -,"\, Orange, Texas, United States, ",\,Orange,Texas,United States,,,,,,,,,,"No record of this theater that I can find, apart from brief mention in the comments of this page: https://cinematreasures.org/theaters/13912"
Live Oak,FDYB1927,"\, Orange, Texas, United States, ",\,Orange,Texas,United States,,,,,,,,,,
Alhambra,FDYB1926 -,"542 Price St, Paris, Texas, United States, 75460",542 Price St,Paris,Texas,United States,75460,,,,,,,,,https://cinematreasures.org/theaters/27103
Lincoln,FDYB1927 -,"\, Pittsburg, Texas, United States, ",\,Pittsburg,Texas,United States,,,,,,,,,,
Rex,FDYB1926 - 1932,"\, Plano, Texas, United States, ",\,Plano,Texas,United States,,,,,,,,,,
Dreamland,FDYB1931 -,"505-07 Proctor Street, Port Arthur, Texas, United States, 77640",505-07 Proctor Street,Port Arthur,Texas,United States,77640,,,,,,,,,https://cinematreasures.org/theaters/14931
Majestic,FDYB1931 -,"1518 Houston Ave, Port Arthur, Texas, United States, 77640",1518 Houston Ave,Port Arthur,Texas,United States,77640,,,,,,,,,https://cinematreasures.org/theaters/14926
Victor,FDYB1926 -,"514 Houston Ave, Port Arthur, Texas, United States, 77640",514 Houston Ave,Port Arthur,Texas,United States,77640,,,,,,,,,https://cinematreasures.org/theaters/53196
Rex,FDYB1927,"\, Rockdale, Texas, United States, ",\,Rockdale,Texas,United States,,,,,,,,,,
Bellinger,FDYB1927 -,"416 East Commerce Street, San Antonio, Texas, United States, 78205",416 East Commerce Street,San Antonio,Texas,United States,78205,,,,,,,,,https://saobserver.com/san-antonios-black-commerce-street/
